Realisation number,Time,x
1.0,6.1000000000000005,0.7656808353679638
1.0,6.11,0.7561935458582622
1.0,6.12,0.7557840086169784
1.0,6.13,0.7381219551555254
1.0,6.140000000000001,0.7494400287414852
1.0,6.15,0.7404595659893457
1.0,6.16,0.737607270400484
1.0,6.17,0.7341327920016104
1.0,6.18,0.7453216854778159
1.0,6.19,0.7399930249662662
1.0,6.2,0.7459178343556082
1.0,6.21,0.7469167956461992
1.0,6.22,0.7347120860091483
1.0,6.23,0.7455060971213786
1.0,6.24,0.7317833413842721
1.0,6.25,0.7414922948237401
1.0,6.26,0.7402109010645362
1.0,6.2700000000000005,0.7383641221028715
1.0,6.28,0.731107792980266
1.0,6.29,0.7352713950460327
1.0,6.3,0.725297333410455
1.0,6.3100000000000005,0.7102992771320848
1.0,6.32,0.7270614110498274
1.0,6.33,0.711647047170959
1.0,6.34,0.7161770446476479
1.0,6.3500000000000005,0.695456390991415
1.0,6.36,0.6943551388625889
1.0,6.37,0.7010878129943642
1.0,6.38,0.7069240506036082
1.0,6.390000000000001,0.7151317902299142
1.0,6.4,0.7035453637910934
1.0,6.41,0.7002703121333145
1.0,6.42,0.7088033303256344
1.0,6.43,0.709922550732526
1.0,6.44,0.710946592417141
1.0,6.45,0.7051439162322611
1.0,6.46,0.7108938812912553
1.0,6.47,0.7095706719888574
1.0,6.48,0.6993795846077547
1.0,6.49,0.6997836590663035
1.0,6.5,0.6837857775835571
1.0,6.51,0.6948077898255891
1.0,6.5200000000000005,0.7028385429689802
1.0,6.53,0.7059569666020734
1.0,6.54,0.7195089887267564
1.0,6.55,0.7106897406014799
1.0,6.5600000000000005,0.7146794624924241
1.0,6.57,0.724175010586328
1.0,6.58,0.7192009993551578
1.0,6.59,0.7349869254563378
1.0,6.6000000000000005,0.7506403104708306
1.0,6.61,0.7648373976390745
1.0,6.62,0.7680265278371214
1.0,6.63,0.7630256808026665
1.0,6.640000000000001,0.7616011554481811
1.0,6.65,0.7555768324813021
1.0,6.66,0.7503566026813853
1.0,6.67,0.7511954560236358
1.0,6.68,0.7564025104100833
1.0,6.69,0.7505901856303063
1.0,6.7,0.7544759345680563
1.0,6.71,0.7477644575248396
1.0,6.72,0.7379168693446488
1.0,6.73,0.7251257564478237
1.0,6.74,0.7270866234538859
1.0,6.75,0.7209227523196038
1.0,6.76,0.7157065649595279
1.0,6.7700000000000005,0.721135751381189
1.0,6.78,0.7227907835177975
1.0,6.79,0.7415360447982514
1.0,6.8,0.7227555007072589
1.0,6.8100000000000005,0.702574294992797
1.0,6.82,0.7074456243020008
1.0,6.83,0.6839239744640904
1.0,6.84,0.670233290932825
1.0,6.8500000000000005,0.6535499341086112
1.0,6.86,0.6382504104022443
1.0,6.87,0.6280798079289609
1.0,6.88,0.6373048019134382
1.0,6.890000000000001,0.645126034777957
1.0,6.9,0.6293886185304318
1.0,6.91,0.6180245786089418
1.0,6.92,0.616592036490793
1.0,6.93,0.6321247934877737
1.0,6.94,0.6227517298197891
1.0,6.95,0.6405061380358937
1.0,6.96,0.6423958929335639
1.0,6.97,0.6389129142536643
1.0,6.98,0.6506809598432757
1.0,6.99,0.6467852342727927
1.0,7.0,0.6473760394038044
1.0,7.01,0.6570138116267101
1.0,7.0200000000000005,0.6604418558169387
1.0,7.03,0.661234938994545
1.0,7.04,0.6552211588732642
1.0,7.05,0.6311219336089778
1.0,7.0600000000000005,0.6204367549606956
1.0,7.07,0.6087758196410737
1.0,7.08,0.6080535420728534
1.0,7.09,0.6089989086585583
1.0,7.1000000000000005,0.6020810429790526
1.0,7.11,0.6052343742817637
1.0,7.12,0.6037439571582998
1.0,7.13,0.60321733031177
1.0,7.140000000000001,0.6163836380597446
1.0,7.15,0.6116150755272524
1.0,7.16,0.6130338796522466
1.0,7.17,0.6243342479045274
1.0,7.18,0.6335081841458562
1.0,7.19,0.6258102034808818
1.0,7.2,0.6376491918683884
1.0,7.21,0.6627651670360492
1.0,7.22,0.6596201958774603
1.0,7.23,0.6773506693079866
1.0,7.24,0.6933029963046968
1.0,7.25,0.7070199590513591
1.0,7.26,0.7040977524492297
1.0,7.2700000000000005,0.7258468899281741
1.0,7.28,0.7327239049366966
1.0,7.29,0.7297926471638164
1.0,7.3,0.7250067156089994
1.0,7.3100000000000005,0.7232174368670727
1.0,7.32,0.6972583323142425
1.0,7.33,0.6910662594511782
1.0,7.34,0.6981270594262597
1.0,7.3500000000000005,0.699552120566373
1.0,7.36,0.7003724320882386
1.0,7.37,0.6965601405357892
